Country,Date, Order Value (USD) 
USA,2019-12,"2,60,30,790"
USA,2020-01,"1,65,57,906"
USA,2020-02,"1,54,77,019"
USA,2020-03,"1,71,74,420"
USA,2020-04,"1,36,73,460"
USA,2020-05,"1,60,33,099"
USA,2020-06,"1,94,20,472"
USA,2020-07,"2,08,23,259"
USA,2020-08,"1,76,62,982"
USA,2020-09,"1,96,79,873"
USA,2020-10,"1,75,12,345"
USA,2020-11,"1,67,72,727"
USA,2020-12,"1,85,58,359"
USA,2021-01,"1,76,67,935"
USA,2021-02,"2,10,85,671"
USA,2021-03,"2,22,37,138"
USA,2021-04,"2,05,67,425"
USA,2021-05,"1,86,35,790"
USA,2021-06,"1,94,09,098"
USA,2021-07,"2,10,47,281"
USA,2021-08,"1,88,10,172"
USA,2021-09,"2,19,24,043"
USA,2021-10,"2,11,90,159"
USA,2021-11,"2,12,25,391"
USA,2021-12,"2,02,07,040"
USA,2022-01,"2,40,04,887"
USA,2022-02,"2,55,07,001"
USA,2022-03,"3,51,64,285"
USA,2022-04,"2,46,91,715"
